CKG_NM,CKG_MTRL_CN
봄동비빔밥,[재료] 봄동 2뿌리| 밥 2공기| 계란 2알| 고추장 [봄동 양념 ] 국간장 1스푼| 참기름 1스푼| 새우젓 1/2스푼| 식초 1/2스푼| 설탕 1/2스푼| 다진마늘 1/2스푼| 멸치액젓 1/2스푼| 깨 조금
봄동샐러드,[재료] 유자청| 봄동| 적상추30g| 식빵 1장| 모짜렐라치즈 30g
봄동시저샐러드,[필수재료 ] 봄동 2뿌리| 식빵 2쪽| 베이컨 60g| 파마산 치즈가루 1스푼(듬뿍) [선택재료 ] 올리브| 드라이토마토| 메추리알| 아몬드슬라이스| 건크랜베리 [드레싱 ] 마요네즈 4스푼| 머스터드 1스푼| 꿀 1스푼| 레몬즙 0.5스푼| 소금 1/3스푼| 후추 조금
봉골레스파게티,[재료] 스파게티면(1인분에 80g 정도) 240g| 바지락 3컵| 건고추 작은것 5개| 통마늘 4쪽| 화이트와인 2/3컵| 파마산치즈가루(취향에 따라) 적당량 [양념] 스파게티면 삶을 물 4리터| 소금 3큰술| 올리브유 3큰술| 후춧가루 약간
부대찌개,[재료] 돼지고기 1줌(200g)| 햄 1/2캔| 양파 1/2개| 애호박 1/4개| 두부 1/4모| 김치 1/2줌| 느타리버섯 1줌| 청양고추 1개| 붉은고추 1개 [멸치 다시마 육수 재료] 국물용 멸치 5마리| 다시마(10*5cm) 1장| 물 4컵 [양념] 포도씨유 2T| 소금 약간  [양념장] 고추장 0.5T| 고춧가루 1T| 다진마늘 0.5T| 간장 0.5T| 새우젓 0.5T| 맛술 1T| 소금 약간 | 후춧가루 약간
부채살육전,[필수재료] 소고기 부채살 200g| 배 1/2개| 파프리카 1/2개| 양파 1/2개| 찹쌀가루| 달걀 [소스재료] 간장 1숟가락| 식초 2숟가락| 꿀 1숟가락| 연겨자 1숟가락| 맛술 1숟가락
부추감자전,[재료] 감자大 2개| 부추 50g| 양파 1/4개| 밀가루 5숟갈| 물 6숟갈| 포도씨유 적당량 [초간장 양념] 간장 1+1/2숟갈| 물 1+1/2숟갈| 식초 2/3숟갈| 설탕 1/3숟갈 [반죽양념] 참기름 1/2숟갈| 소금 약간| 후추 약간
부추굴전,[재료] 부추 1/3단| 굴 200g| 밀가루 3컵| 물 2컵| 달걀 1개 [양념] 소금 2작은술| 후추 조금
부추김밥,[재료] 김밥김| 부추| 단무지| 햄| 잡곡밥 [양념] 통깨 약간| 소금 약간| 참기름
부추김치전,[부추전 재료] 부추 50g| 깻잎 5장| 붉은 고추 2개| 방아잎 약간| 밀가루 1컵| 홍합살 50g| 멸치 액젓 1/2숟가락| 콩기름 약간| 육수 약간 [김치전 재료] 묵은지 약간| 양파 1/4개| 당근 약간| 밀가루 1컵| 홍합 살 50g| 콩기름 약간| 육수 약간
부추된장국,[재료] 부추 1/2줌| 국물용멸치 3마리| 다시마 10cm 1장| 물 4컵| 두부 1/4모| 붉은고추 1개 [양념] 된장 1큰술| 고춧가루 0.3큰술| 다진마늘 0.5큰술| 소금 약간
부추만두,[만두피 반죽 재료] 강력분 80g| 전분 25g| 중력분 70g| 물 70cc| 계란 1/2개 [속재료] 돼지고기 다짐육 300g| 부추 180g| 두부 180g| 계란(55g) 1개 [양념] 다진 마늘 0.5큰술| 소금 1작은술| 참기름 1큰술| 후춧가루 약간| 깨소금 0.5큰술
부추오이김치,[재료] 오이 3개| 부추 3줌 [양념] 고추가루 2| 매실액 2| 다진마늘 1| 다진생강 0.3| 멸치액젓 1| 소금 1| 통깨
부추잡채,[재료] 부추 1/2단| 돼지고기(등심) 150g| 홍고추 2개| 녹말가루 약간 [고기 밑간 양념] 간장 1T| 청주(or미림) 1/2T| 설탕 1/2t [부추 잡채 양념] 굴소스 1T| 후춧가루 약간| 청주 1T| 다진 마늘 1/2T| 다진 생강 1/2t| 참기름 적당량| 소금 약간
부추전,[재료] 부추 4줌| 양파 1/2개| 당근 약간| 청양 고추 1개| 부침가루 1컵| 밀가루 1컵| 얼음물 1.5컵 [양념] 국간장 1큰술
부추호박전,[재료] 애호박| 부추| 양파 1/2개| 깻잎| 부침가루| 오징어
부침개,[재료] 마 껍진 깐것 600g| 부침가루 3스푼| 대파 약간| 식용유 적당량 [양념] 소금 약간
북어국,[재료] 북어 2줌| 무 4cm 짜리 1토막| 달걀 1개| 대파 1/2대| 멸치다시마 육수 6컵 [양념] 참기름 1큰술| 다진 마늘 0.5큰술| 국 간장 1큰술| 멸치액젓 1큰술| 소금 약간| 후춧가루 약간
불고기,[재료] 소불고기 1500g| 당근| 당면| 양파 1개| 대파 1대 [불고기 양념장] 간장 15TS| 설탕 4TS| 마늘 4TS| 양파 갈것 1개| 배즙 1컵| 물 1컵| 마늘 4TS| 후추1ts| 깨 1TS
불고기김밥,[재료] 소고기 불고기용 100g| 당근 1/2개| 달걀 3개| 김밥용 김 4장| 단무지 4줄| 우엉 4줄| 맛살 2줄| 밥 4큰주걱 [고기양념] 간장 1큰술| 설탕 1/2큰술| 마늘 1/2큰술| 참기름 약간 | 후추 약간
불고기덮밥,[재료] 우리한우 600g| 양파 1개| 당근 1/2개| 노랑파프리카 1개| 실파 7대| 홍고추 1개| 팽이버섯 1팩 [불고기용 쇠고기밑간] 양파즙 2큰술| 레드와인 2큰술 [고기양념] 간장 6큰술| 매운맛굴소스 1큰술| 맛술 2큰술| 청주 1큰술| 황설탕 2큰술| 올리고당 2큰술| 참기름 2큰술| 마늘(다지기) 7알| 후춧가루 1/4작은술| 생강가루 1/4작은술
불고기버거,[재료] 핫도그빵 3개| 쇠고기(한우)불고기용 200g| 양파 1/2개| 홍고추 1개| 양상추| 오이피클 조금| 녹인버터| 머스타드소스 조금| 포도씨유 적당량 [불고기양념] 진간장 2큰술| 황설탕 1큰술| 마늘(다지기) 2알| 참기름 1작은술| 깨소금 1작은술| 후춧가루 조금
불고기버섯전골,[재료] 불고기 300g| 새송이버섯 2개| 팽이버섯 1봉지| 건표고버섯(종이컵) 1컵| 깻잎2묶음| 당근 1/3개| 배춧잎 2장| 대파 1뿌리| 무(주먹크기) [양념] 소금| 국간장| 후추| 양배추 끓인 육수| 양파 1/2개| 다진마늘 1큰술| 썰은 청양고추 1조각 [불고기 양념장] 간장 4큰술| 다진마늘 1+1/2큰술| 설탕 1/2큰술| 참기름 1/3큰술| 맛술 1큰술| 후추
불고기카레,[재료] 카레분말 100g| 생수 5컵(1리터)| 버터 1큰술| 올리브오일 1큰술 [야채] 감자| 양파| 당근| 새송이버섯 [불고기양념] 다진마늘 1작은술| 맛술 1큰술| 돈불고기 200g
불고기피자,[재료] 식빵이나 핫도그빵 적당량| 쇠고기 불고기감 100g| 양파 1/6개| 당근 약간| 피망1/3개| 피자치즈 1컵 [고기 양념] 간장 1T| 청주 1T| 설탕 0.3T| 다진 마늘 0.3T| 다진 파 1T| 후춧가루 약간 [피자 소스] 시판 스파게티 소스 1컵| 소금 약간| 후추 약간
불닭,[재료] 닭다리살 5개| 떡볶이떡 2줌| 실파나 대파 적당량 [고기밑간] 소금| 후춧가루 약간| 청주 2큰술 [양념장재료(2-3회 분량)] 청양고추 3개| 양파 중간것 1/2개| 사과 작은 것 1/2개| 대파 흰 부분 1/2대| 다진 마늘 2큰술| 고추장 4큰술| 고춧가루 3큰술| 카레가루 1큰술| 간장 3큰술| 굴 소스 1큰술| 맛술 3큰술| 흑설탕 1큰술| 물엿 2큰술| 생강즙(or생강가루) 0.3큰술| 후춧가루 적당량
불닭죽,[필수재료] 라면 1/2봉지| 불닭 소스 1개| 불린 쌀 1/2종이컵| 달걀 1개| 송송 썬 대파 3숟가락
불닭퀘사디아,[재료] 닭가슴살 4쪽| 각종 야채 [또띠아 재료] 홍피망 1/2개| 청피망 1/2개| 양파 1/2개| 청량고추 3개| 또띠아 8장| 스위트콘 5~6큰술| 올리브유 적당량| 피자치즈 넉넉히 [또띠아 양념] 칠리소스 적당량 [야채 밑간] 시즈닝솔트 1작은술| 굴소스 1작은술 [불닭양념] 고추장 3큰술| 고춧가루 2큰술| 고추기름 1/2큰술| 후춧가루 1/2큰술| 칠리소스 1큰술| 다진마늘 1큰술| 굴소스 3/4큰술| 설탕 1/2큰술 [닭 밑간] 청주 1큰술| 시즈닝솔트 2/4큰술| 생강즙 1/2큰술
불닭피자,[불닭 재료] 닭가슴살 200g| 마늘(슬라이스한것) 1줌| 칠리파우더| 타바스코소스| 올리브유| 소금| 후추| 설탕 조금| 피자도우| 세몰리나 [토마토소스] 토마토 홀 1캔| 오레가노| 바질| 월계수잎| 소금| 후추
브라우니,[재료] 다크커버춰 200g| 버터 100g| 박력분 100g| 코코아 20g| 흑설탕 100g| 계란 3개| 인스턴트 커피 1Ts| 깔루아 3Ts| 견과류 적당히
브라우니치즈케이크,[브라우니] 초콜렛 50g| 버터 40g| 설탕 35g| 달걀 1개| 박력분 35g| 코코아가루 5g| 그뤼에 카카오 [치즈반죽] 크림치즈 250g| 플레인요플레 200g| 생크림 50g| 설탕 70g| 달걀 2개| 옥수수전분 15g
브라우니쿠키,[재료] 다크커버춰초콜릿 100g| 버터 18g| 설탕 65g| 박력분 18g| 작게 자른 다크커버춰 초콜릿(또는 초코칩) 70g| 호두 50g| 베이킹파우더 1/6작은술| 바닐라익스트랙 1/2작은술| 달걀 1개
브래드,[재료] 강력분 300g| 설탕 2T| 이스트 1ts| 소금 1ts| 계란 1개| 물 120~130g| 올리브유 30g| 기름 뺀 참치 150g| 다진 청피망 50g| 다진 양파 30g [양념] 마요네즈 100g| 파슬리 약간| 허니머스타드 소스 약간
브런치,[재료] 춘권피| 고구마 3개 [양념] 우유| 꿀
브레드,[재료] 강력분 250g| 물 150g| 우유 10g| 설탕 30g| 소금 1/2ts| 이스트 5g| 포피시드 1Ts
브레드스틱,[재료] 피자도우 130g| 채친 피자치즈 100g| 파마산치즈가루 약간 [피자도우 재료] 밀가루(강력분) 250g| 드라이이스트 2작은술| 설탕 1/2큰술| 소금 1작은술| 올리브오일 1큰술| 따뜻한 물 150cc [소스] 올리브유 2큰술| 바질 1/2작은술| 소금 약간 [피자소스] 홀토마토 1캔(800g)| 다진 양파 3큰술| 올리브오일 3큰술| 월계수잎 2장| 설탕 1/3큰술| 바질| 소금| 후춧가루 약간
브로콜리스프,[재료] 브로콜리 250g| 감자 중간것 1개| 양파 1개| 보리죽가루 3T| 물 400ml| 우유 400ml [양념] 버터 2T| 파마산치즈가루 1T| 피자치즈 1줌| 소금 취향껏| 후춧가루 취향껏
브로콜리튀김,[재료] 브로콜리 1/2개| 찹쌀가루 2큰술| 튀김기름 적당량 [양념] 소금 약간
브로콜리파스타,[재료] 파스타면 280g| 토마토(중간크기) 4개(550g)| 브로콜리 1송이(130g)| 양파 1개(100g) [양념] 토마토 파스타소스 1병(600g)| 올리브오일 3큰술| 후춧가루 약간| 바질가루 약간
브루스게타,[재료] 찰토마토 2개| 올리브유 1큰술| 소금 1/2 작은술| 말린바질 1작은술| 생파슬리 다진것 1/2큰술| 레몬즙 1큰술| 후추가루 약간| 바게트 1/2개 [마늘버터 ] 가염버터 5큰술| 올리브유 1큰술| 설탕이나 연유 1큰술| 다진마늘 2큰술| 파슬리 1/2큰술
블루베리스콘,[재료] 박력분 260g| 베이킹파우더 2ts| 소금 조금| 설탕 60g| 버터 70g| 냉동블루베리 1/2컵| 밀가루 1~2큰술| 우유| 설탕 조금 [버터밀크] 우유 150~180ml| 레몬즙 1T
블루베리쨈,[재료] 블루베리 500g| 설탕 150g| 레몬즙 2T| 럼 1T| 모닝빵 3개
블루베리치즈케이크,[재료] 크림치즈 120g| 설탕 10g| 생크림 90g| 옥수수전분 1Ts| 흰자 1개| 블루베리 20~25알 [바닥쿠키 재료] 버터 25g| 설탕 15g| 노른자 1개| 박력분 60g
블루베리타르트,[재료] 아몬드슬라이스 1줌| 분당 조금 [생지] 버터 75g| 아몬드가루 20g| 박력분 75g| 소금 조금| 계란 2개| 설탕 65g [스트로이젤(소보루)] 찬버터 40g| 설탕 30g| 박력분 50g| 소금 조금 [블루베리쨈] 냉동블루베리 160g| 설탕 50g| 레몬즙 3큰술
비건쿠키,[재료] 햄프씨드 100g| 아몬드 50g| 해바라기씨| 호박씨 50g| 바나나 4개| 오트밀가루 150g| 오트밀 150g| 건포도 50g| 시나몬가루 3~5g
비빔국수,[재료] 통밀국수 3인분| 양상추| 양파 1/4개| 피망| 당근| 방울토마토| 실파| 땅콩 [양념] 초고추장
비빔냉면,[재료] 냉면사리 4개| 무 1/3개| 오이 1개| 삶은 달걀 2개| 참기름 조금 | 통깨 조금 [양념] 배 1개| 양파 2개| 다진 마늘 1큰술| 다진 생강 1/2큰술| 진간장 500ml| 국간장 100ml| 설탕 150g| 물엿 400g| 맛소금 1작은술| 포도당 50g| 구연산 30g| 참깨 조금| 고운 고춧가루 400g
비빔라면,[재료] 라면사리 1개| 송송 썬 김치 1/2컵| 오이채 1줌| 통깨 약간 [양념] 간장 0.5스푼| 고추장 1스푼| 설탕 0.5스푼| 참기름 1스푼| 다진 파 0.5스푼| 다진마늘 0.3스푼
비빙수,[재료] 비비빅| 우유
비스코티,[재료] 마늘버터 80g| 계란 2개| 소금 조금| 밀가루 200g| 베이킹파우더 1/2ts| 황설탕 70g| 견과류 1/2컵
비스퀴,[재료] 중력분 130g| 계란노른자 80g| 흰자 130g| 설탕 80g| 슈가파우더 약간
비엔나떡볶이,[재료] 떡볶이떡 2~3줌| 납짝어묵 2~3장| 굵은파 1/2뿌리| 양파 1/4개| 비엔나소세지 1줌 [양념] 고추장 2큰술| 설탕 1큰술| 물엿 1큰술| 마늘 3개| 고춧가루 1큰술| 물 2~3컵
비프까스,[재료] 소고기 슬라이스 7장| 달걀 2개| 밀가루 적당량| 빵가루 적당량| 파슬리가루 적당량| 바질가루 조금 [양념] 소금 조금| 후춧가루 조금| 생강가루 조금
비프버거,[재료] 소고기 450g| 소금 1Ts| 후추 조금| 식용유 1T| 계란 1개| 양파 1개| 빵가루 1컵(200cc)| 스파게티 250g| 양파 1개| 토마토 1개| 식용유 1T [소스] 토마토케찹 4T| 토마토퓨레 1T| 물 1/2컵| 치킨스톡 1/2개| 소금 약간 | 후추 약간 | 파슬리가루 조금
비프스트로가노프,[재료] 소고기 스테이크용 350g| 양파 1개| 버섯 2개| 피망 1개| 당근 조금| 밀가루 1T| 식용유 2T| 파슬리가루 조금 [고기밑간] 소금| 후추 [본 양념] 토마토 페이스트 2T| 화이트와인 1/2컵| 물 1컵| 우스터소스 3T| 소금| 후추| 설탕 1/2T| 치킨스톡 1/2개| 월계수잎 1장| 생크림 1/2컵| 레몬즙 1T
빙수팥,[재료] 팥 2컵| 물 7컵 [양념] 무슈구슈 3/4컵| 소금 1작은술| 올리고당 1컵
빠다코코넛,[재료] 박력분 130g| 코코넛가루 40g| 뿌려줄설탕| 덧가루용강력분| 베이킹파우더 1/4작은술| 설탕 50g| 소금 1/4작은술| 달걀 1/2개| 포도씨유 35g| 버터 20g
빵,[재료] 강력분 200g| 박력분 50g| 소금 3g| 설탕 25g| 이스트 5g| 계란 25g| 버터 25g| 물 50g| 우유 80g [필링] 크림치즈 30g| 카라멜잼 60g [토핑] 버터 50g| 설탕 50g| 박력분 50g| 계란 1개| 인스턴트커피 2작은술
빵가루,[재료] 빵| 토스트기| 봉투 [양념] 
빵푸딩,[재료] 식빵| 달걀| 우유| 생크림| 바나나| 크렌베리| 건포도 [양념] 설탕| 바닐라오일| 슈가파우더(or 계피가루)
빼빼로쿠키,[재료] 달걀 1/2개| 바닐라액 1ts| 박력분 90g| 아몬드가루 50g| 토핑용 슬라이스 아몬드 적당량 [양념] 버터 85g| 슈거파우더 50g| 소금 1/6ts
뼈다귀감자탕,[재료] 돼지등뼈 1kg| 시래기(or우거지) 2줌| 감자 4개| 들깨가루 2큰술 [돼지등뼈 잡냄새 제거 재료] 대파 1뿌리| 양파 1개| 통마늘 5개| 통후추 40알| 청주 1/2컵 [양념] 된장 1큰술| 고춧가루 2큰술| 다진 마늘 1큰술| 천연 다시다 0.5큰술| 참기름 1큰술| 소금 약간| 후춧가루 약간
사골떡국,[재료] 떡국떡| 사골국| 계란| 파| 김 [양념] 소금 약간 | 후추 약간 
사골우거지탕,[재료] 사골국 물3컵| 삶은배추 150~200g| 홍고추| 대파 [배추우거지무침 양념 ] 된장 1큰술| 국간장 0.5큰술| 다진마늘 0.5큰술| 다진파 0.5큰술| 참기름약간| 다진마늘| 소금 약간| 후추 약간| 고춧가루 0.5큰술| 된장 1큰술
사골탕,[재료] 사골 800g| 갈비 잡뼈 800g| 쇠고기사태 400g| 물 넉넉하게 [부재료] 대파 적당량 [양념] 소금 약간| 후춧가루 약간
사과계란말이,[재료] 계란 4개| 맛살 2개| 식용유 약간| 검은깨 약간| 무순 약간 [양념] 다시마육수 5큰술| 설탕 1/2큰술| 소금 1/2작은술| 후추 약간
사과라떼,[재료] 사과 갈은거 1개| 사과 작은조각 0.5개 [양념] 설탕 3| 물 2
사과말랭이,[재료] 사과
사과빵,[재료] 강력분 250g| 소금 4g| 설탕 37g| 인스턴트 드라이 이스트 8g| 버터 25g| 달걀 1개| 우유 100g [사과조림] 사과 400g| 황설탕 100g| 버터 50g| 전분 8g| 레몬즙 약간| 계피가루 적당량
사과쨈,[재료] 사과 2개 [양념] 설탕 100g| 레몬즙 1큰술
사과케이크,[재료] 유기농박력분 200g| 버터 100g| 설탕 100g| 달걀 2개| 베이킹파우다 1/2큰술| 호두 60g | [사과조림]| 사과 1개| 설탕 40g| 레몬즙 1큰술| 계피가루 1/3큰술
사과케일주스,[사과케일주스] 사과 반개~1개| 케일 2장| 꿀 1.5T
사과토스트,[재료] 사과 1/2쪽| 식빵 4장| 물 1/2컵 [양념] 설탕 4큰술| 계피가루 약간
사과파운드,[재료] 버터 200g| 설탕 120g| 박력분 200g| BP 5g| 플레인요플레 70g| 달걀 4개| 조린사과 200g| [사과조림]| 사과 2개| 설탕 60g| 버터 20g| 녹말 2Ts| 계피가루 적당량
사과파운드케이크,[재료] 사과작은거 3개| 박력분 100g| 버터 100g| 계란 2개| 우유 20ml| 슈가파우더 100g| 베이킹파우더 5g| 소금 조금| 적포도주 2컵| 설탕 1/2컵| 계피 1개| 레몬즙 2큰술| 나빠쥬용 물엿 2큰술
사과파이,[파이지] 박력분 200g| 소금 조금| 설탕 5g| 찬버터 100g| 전란 1개 60g [계란물] 노른자 1개| 물 1T [사과필링] 사과 2개(중간크기)| 황설탕 60g| 버터 25g| 계피가루 1/4ts| 전분 1T| 소금 조금
사라다빵,[재료] 감자 3개| 양파 1/2개| 당근 1/4개| 단무지(양배추로 대체) 2장| 햄 조금| 빵 2장 [양념] 마요네즈 2T| 설탕 1t| 식초 1t| 소금 약간| 후추 약간
사탕,[재료] 설탕 100g| 물엿 100g| 물 30g| 식용색소 조금| [도구]| 실리콘몰드| 반지
사태,[재료] 쇠고기 사태 400g| 마늘 3쪽| 대파 초록부분 빼고 2대| 양파 1/4개| 물 6컵| 당근 1/2개| 감자 1개 [양념] 간장 3큰술| 설탕 1 + 1/2큰술| 다진파 1큰술| 다진마늘 2작은술| 다진양파 2큰술| 참기름 2작은술| 후추 약간| 통깨 약간
삼각주먹밥,[재료] 밥 1공기| 잔멸치 40g| 호두 25g [밑간] 소금| 통깨| 참기름 0.5큰술 [소스] 간장 1/2큰술| 미림 0.5큰술| 식용유 1큰술| 다진마늘 0.5큰술| 물엿(or 설탕) 1~2큰술| 참기름 0.5큰술| 통깨 [삼각주먹밥 속양념] 초고추장
삼겹김치볶음밥,[재료] 통삼겹살 1kg| 김치 1/2포기| 밥 4공기 [바베큐 양념] 다진 마늘 200g| 후추 조금| 안데스산소금 조금 [볶음밥 양념] 소금 조금| 참기름| 참깨 조금씩
삼겹살,[재료] 삽겹살| 양파| 김치 [고기밑간] 허브맛솔트 약간| 허브맛솔트(마늘) 약간 [간장소스] 간장 2큰술| 설탕 1큰술| 식초 1큰술| 레몬즙 1/2큰술| 연겨자 1/2큰술| 물 2큰술| 참기름 1작은술
삼겹살김치볶음밥,[재료] 삼겹살 1/2줌(100g)| 김치 1/6포기| 대파 1/4뿌리| 밥 1공기 [본 양념] 간장 0.5큰술| 설탕 0.3큰술| 참기름 0.5큰술 [고기 밑간] 다진마늘 0.5큰술| 소금| 후춧가루
삼겹살김치전,[재료] 김치 1/8쪽| 삼겹살 3줄| 부침가루 1+1/2컵| 물 1컵
삼겹살김치찌개,[재료] 삼겹살 250g| 신김치 250g| 양파 1/2개| 두부 1/2모| 청고추 1개| 홍고추 1개| 멸치다시마육수 5컵| 대파 1대| 참치액 적당량| 오일 조금 [삼겹살양념] 양파즙 3TS| 참치액 1TS| 고춧가루 1TS| 마늘(다지기) 2알| 생강가루 1/4ts| 후춧가루 조금| 청주 1ts
삼겹살김치찜,[재료] 삼겹살 500g| 잘 익은 신김치 1포기| 멸치&다시마육수 5컵| 다진마늘 3알| 양파 1개| 들기름 1큰술| 대파 1대 [양념] 황설탕 1큰술| 고춧가루 1큰술| 후춧가루
삼겹살샐러드,[재료] 삼겹살 1장| 쌈야채 약간 [양념] 파마산치즈 2큰술| 올리브유 2큰술| 발사믹식초 2큰술| 소금 약간 | 후추 약간
삼겹살순두부찌개,[재료] 배추김치 1/4쪽| 순두부 1개| 삼겹살 150g| 달걀 1개| 멸치 1줌| 양파껍질 1줌| 다시마 1줌| 대파 1뿌리 [양념] 소금 약간| 후추 약간| 고춧가루 1스푼| 다진마늘 1스푼
삼겹살쭈꾸미볶음,[재료] 대패삼겹살 400g| 허브솔트 1작은술| 쭈꾸미 400g| 고추가루 3큰술| 고추장 1큰술| 매실청 1큰술| 올리고당 1큰술| 청주 2큰술| 간장 1큰술| 참기름 1큰술| 후추약간 다진마늘 1큰술| 양파 1/2개| 대파 1대
삼겹살초밥,[재료] 훈제삼겹살 200g| 밥 3공기 [양념] 식초 4큰술| 설탕 3큰술| 소금 1/2큰술| 된장 조금 | 고추냉이 조금
삼계탕,[재료] 닭큰것 2마리| 양파큰거 1개| 황기 1줌| 인삼 1개| 대추 1컵 | 마늘 1컵| 찹쌀 2컵| 대파 적당량  [양념] 소금 약간 | 후추 약간 | 통깨 약간 
삼치강정,[재료] 삼치 3토막| 소금 약간| 후춧가루 약간| 밀가루나 녹말가루 적당량 [부재료] 마늘 4쪽| 청양고추 1개| 홍고추 1/2개 [양념] 간장 1큰술| 굴소스 1큰술| 맛술 2큰술| 청주 1큰술| 물엿 2큰술| 식초 2큰술| 물 3큰술| 생강가루 약간| 후춧가루 약간
삼치데리야끼,[재료] 삼치 1/2마리| 밀가루 2큰술| 포도씨유 1큰술| 대파 1/3대| 생강 1톨 [생선밑간양념] 맛술 1큰술| ?은소금 1/2작은술| 후춧가루 조금| [데리야끼 소스 양념]| 생수 1컵| 진간장 2큰술| 맛술 1큰술| 물엿 1큰술| 설탕 조금| 다진생강가루 조금| 양파 1/4개| 통마늘 1쪽| 다시마 1장| 마른고추 1/2개
삼치조림,[재료] 삼치(중간크기) 1마리| 풋고추 1개| 붉은고추 1개| 대파 1/2대 [양념] 물 1+1/2컵| 진간장 4큰술| 고춧가루 2큰술| 다진 마늘 1큰술| 설탕 1큰술| 생강즙 1작은술| 맛술(청주) 2큰술| 후춧가루 약간
상그리아,[재료] 레드와인 1병| 오렌지 2개| 레몬 1개| 사과 1개| 사이다 1캔| 얼음 약간
상추겉절이,[재료] 상추 2줌| 대파 1/4뿌리 [양념] 간장 2.5큰술| 고춧가루 1큰술| 다진 마늘 0.5큰술| 식초 0.5큰술| 설탕 0.3큰술| 참기름 0.3큰술| 깨소금 약간
상추김밥,[재료] 상추| 당근| 햄| 단무지| 양념된 소고기| 밥| 소금| 참기름| 통깨| 김밥용 김
상추된장국,[재료] 상추 3줌| 느타리버섯 10개| 멸치랑 다시마 넣고 끓인것 5컵 [양념] 집된장 1큰술| 미소된장 1큰술
상추무침,[재료] 상추 1봉지| 간장 3T| 설탕 1T| 올리고당 1T| 식초 2T| 고춧가루 2T| 다시다 0.5T| 참기름 1T| 깨소금 약간
상추보관,[재료] 상추
상추장아찌,[상추장아찌] 상추 40장| 물 1컵| 설탕 2/3컵| 간장 2/3컵| 식초 2/3컵 [상추전] 상추 10장| 튀김가루(부침가루) 1컵| 물 1컵| 간장 1스푼| 식초 1스푼| 올리고당 1스푼| 고춧가루 조금| 식용유 적당량| 통깨 조금
상하이파스타,[재료] 스파게티면 2줌(200g)| 껍질 깐 생새우나 칵테일새우 2줌| 청피망 작은것 1개| 양파 1/2개| 빨간 파프리카 작은것 1/2개| 청양고추 4개| 팽이버섯 1줌 [양념] 고추기름 2큰술| 매콤한 굴소스 2큰술| 간장 1.5큰술| 다진마늘 1큰술
새송이버섯구이,[재료] 새송이버섯 2개| 새싹 1줌 넉넉히 [양념] 간장 2큰술| 다진마늘 2작은술| 다진파 2작은술| 통깨 1작은술| 화이트와인 2큰술
새송이장조림,[재료] 새송이 큰것 5~6개| 양파 작은것 1개| 홍고추 1개| 청고추 1개| 마늘 10알 [양념] 멸치다시마물 1.5컵| 맛술 2큰술| 간장 5큰술| 설탕 1큰술| 생강가루 0.5ts| 물엿 1큰술| 통후추 5~6알
새알팥죽,[재료] 팥 250g| 물 1000~1300ml| 찹쌀가루 2큰술| 불린쌀 1/2컵| 뜨거운 물 조금 [양념] 소금 조금
새우,[재료] 바게트 1/2개| 칵테일새우 100g [양념] 마늘 6쪽| 피망 1/2개| 올리브유 6큰술| 소금 약간 | 후추 약간
새우계란국,[재료] 새우살 100g| 달걀 2개| 대파 1/3대| 양파 1/4개| 물 3컵| 다시마(5X5cm) 1장| 멸치 10마리 [양념] 다진 마늘 1작은술| 참기름 1작은술| 소금 약간| 후추 약간
새우구이,[재료] 새우 15마리| 감자 1개| 양파 약간| 우유 1/4컵| 모짜렐라치즈 1/2 컵| 건파슬리가루 약간 [양념] 카레가루 1큰술| 소금 0.5 작은술
새우김밥,[재료] 냉동새우 10개| 소금 2큰술| 소다 1큰술| 튀김용식용유 적당량| 양상추 1/2통| 밥 2공기 [튀김옷 재료] 밀가루 2큰술| 계란 1개| 빵가루 1컵| 소금 조금| 후추 조금 [밥 밑간 양념] 식초 2큰술| 설탕 1큰술| 소금 1/3큰술 [소스] 마요네즈 3큰술| 연유 1큰술| 올리고당 1작은술| 소금 조금| 레몬즙 1큰술
새우김치볶음밥,[재료] 밥 1공기| 김치 1줌| 새우 적당량| 계란 1개 [양념] 참기름 약간
새우김치전,[재료] 김치 250g| 박력분 2컵| 달걀 1개| 새우 15마리| 양파 1/2개| 물 150g 정도 [새우밑간] 맛술| 소금| 후추
새우동그랑땡,[재료] 여주 1+1/2개| 새우살 1컵| 다진파 2숟갈| 다진양파 3숟갈| 다진당근 2숟갈| 녹말가루 2숟갈| 계란 1개| 카놀라유(식용유) 적당량 [양념] 다진마늘 0.3숟갈| 굵은소금 1숟갈| 허브맛솔트 약간| 후추 약간| 통깨 1/2숟갈| 청주 2숟갈
새우된장찌개,[재료] 물 705G| 다시마 1장(5X5)| 국물용멸치 8개| 흰다리새우 7마리| 청양고추 작은것 1개| 무 작은것1/3개 167G| 애호박 1/3개 146G| 양파 1/2개 73G| 두부1/2모 150G [양념] 재래된장 볼록하게 2+1/2스푼| 고춧가루 1+1/2스푼
새우떡볶이,[재료] 떡볶이 떡 8~9줄| 어묵 (넓적한것) 4장| 새우 9~10개| 새송이버섯 1개| 팽이버섯 1묶음| 양파 1/2개| 고추 1개| 대파 적당히| 마늘 (편마늘 혹은 다진마늘) 원하는 만큼| 된장 1/2스푼| 고추장 1/2스푼| 고춧가루 3TBS| 매운 고춧가루 1TBS| 설탕 1~1.5TBS| 물 5TBS| 마른멸치 10개| 다시마 2장
